1515	Agent Total Cumulative Dose	Numeric value to represent the total cumulative dose administered to a patient.	information related to the cumulative total quantity of an agent.
3121628	Molecular Abnormality Studies	Term to describe an abnormal result of molecular analysis.	Techniques for studying or analyzing the genetic composition and mechanisms of living organisms at the molecular level. May refer to the understanding and manipulation of genes (DNA)._Deviating from the norm._Outcome; a phenomenon that follows and is caused by some previous phenomenon._
3121638	Was patient exposed to hydroxyurea prior to procurement?	Text indicator to signify whether hydroxyurea was administered to a patient before enrollment to a study.	A monohydroxyl-substituted urea (hydroxycarbamate) antimetabolite. Hydroxyurea selectively inhibits ribonucleoside diphosphate reductase, an enzyme required to convert ribonucleoside diphosphates into deoxyribonucleoside diphosphates, thereby preventing cells from leaving the G1/S phase of the cell cycle.  This agent also exhibits radiosensitizing activity by maintaining cells in the radiation-sensitive G1 phase and interfering with DNA repair. (NCI04)_The act of administration._Earlier in time or order. (NCI)_The act of listing or recording officially; officially qualified or enrolled._Research conducted with human subjects or on material of human origin in which an investigator directly interacts with human subjects; includes development of new technologies, study of mechanisms of human diseases, therapy, clinical trials, epidemiologic, behavior, and health services research.
3124352	FAB Category	Alphanumeric code to represent the French American British (FAB) morphologic classification of leukemia.	related to the grouping of hematologic malignancy (e.g., leukemia) based on criteria for morphologic and cytochemical appearance describe by the French-American-British international system._The science of the form and structure of organisms (plants, animals, and other forms of life), or of their parts, and the study or science of the same.  In pathology, the specific appearance of cells and tissues (normal and abnormal) under the light or electron microscope._A classification system for acute myeloid leukemias, acute lymphoblastic leukemias, and myelodysplastic syndromes.  It is based on the morphologic and cytochemical evaluation of bone marrow and peripheral blood smears.
3131180	Bands	Number to represent the percentage value related to a bone marrow stab cell (granulocyte precursor) hematology laboratory procedure.	information relating to the result of the medical procedure that involves testing a sample of bone marrow for neutrophils, granular leukocytes having a nucleus with three to five lobes connected by slender threads of chromatin._A late precursor of a granulocyte in which the nucleus is in the form of a curved or coiled band, not having acquired the typical multilobar shape of the mature polymorphonuclear neutrophil.
3131695	Promonocytes	Number to represent the percentage value related to a bone marrow promonocyte hematology laboratory procedure.	information relating to the result of the medical procedure that involves testing a sample of bone marrow for neutrophils, granular leukocytes having a nucleus with three to five lobes connected by slender threads of chromatin._A measurement of the promonocytes in a biological specimen.
3131740	Number of days from initial diagnosis to date last known alive	Time interval from the last day on which a person is known to be alive to the date of initial pathologic diagnosis, represented as a calculated number of days.	Coming after all others in time or space or degree or being the only one remaining._The organic phenomenon that distinguishes living organisms from nonliving ones; showing characteristics of life_The point or place at which something terminates in time, space, or extent._The investigation, analysis and recognition of the presence and nature of disease, condition, or injury from expressed signs and symptoms; also, the scientific determination of any kind; the concise results of such an investigation._the continuum of experience in which events pass from the future through the present to the past._The period of time during which something continues._._No Value Exists_The investigation, analysis and recognition of the presence and nature of disease, condition, or injury from expressed signs and symptoms; also, the scientific determination of any kind; the concise results of such an investigation.
3144381	Abnormal Lymphocytes	Numeric value to represent the percentage of infiltration by abnormal lymphocytes in a tissue sample or specimen.	information related to the result of a medical procedure that involves testing a sample of blood from the body for an atypical or abnormal lymphocyte, a type of white blood cell that fights infection and diseases._Deviating in any way from the state, position, structure, condition, behavior, or rule which is considered a norm._White blood cells formed in the body's lymphoid tissue. The nucleus is round or ovoid with coarse, irregularly clumped chromatin while the cytoplasm is typically pale blue with azurophilic (if any) granules. Most lymphocytes can be classified as either T or B (with subpopulations of each); those with characteristics of neither major class are called null cells.
3151691	For FISH Tested, Indicate Percent	Numeric value to describe the percentage cytogenetic abnormalities detected by fluorescence in situ hybridization (FISH).	a genetic abnormality at the chromosomal level.
3165475	Number of Days from Initial Diagnosis to Date of Death	Time interval from a person's date of death to the date of initial pathologic diagnosis, represented as a calculated number of days.	The cessation of life._The act of removing a part from the whole._The investigation, analysis and recognition of the presence and nature of disease, condition, or injury from expressed signs and symptoms; also, the scientific determination of any kind; the concise results of such an investigation._the continuum of experience in which events pass from the future through the present to the past._The period of time during which something continues.
3288361	Consent Status	Text term to describe the status of the patient consent.	A person who receives medical attention, care, or treatment, or who is registered with medical professional or institution with the purpose to receive medical care when necessary._Permission to do something._A condition or state at a particular time.
3382736	Has the patient had any prior cancer diagnosed?	Text term to describe the patient's history of prior cancer diagnosis and the spatial location of any previous cancer occurrence.	information related to a prior cancer diagnosis.
3382737	History of Neoadjuvant Treatment for Tumor Submitted	Text term to describe the patient's history of neoadjuvant treatment and the kind of treament given prior to resection of the tumor.	information related to the prior administration of neoadjuvant therapy, treatment designed to be used as a first step toward shrinking the cancer and in evaluating response to drugs and other agents.
3427536	Site of Disease	Text term that describes the anatomic site of the tumor or disease.	A benign or malignant tissue growth resulting from uncontrolled cell proliferation.  Benign neoplastic cells resemble normal cells without exhibiting significant cytologic atypia, while malignant cells exhibit overt signs such as dysplastic features, atypical mitotic figures, necrosis, nuclear pleomorphism, and anaplasia.  Representative examples of benign neoplasms include papillomas, cystadenomas, and lipomas; malignant neoplasms include carcinomas, sarcomas, lymphomas, and leukemias._Any abnormal condition of the body or mind that causes discomfort, dysfunction, or distress to the person affected or those in contact with the person. The term is often used broadly to include injuries, disabilities, syndromes, symptoms, deviant behaviors, and atypical variations of structure and function._Named locations of or within the body.
58262	Marrow Blasts (%)	the percentage of blast cells, immature (undifferentiated) cells occurring before the appearance of the definitive characteristics exhibited by fully differentiated cells, of the  total nucleated marrow cells, the soft, sponge-like tissue in the center of bones that produces blood cells and platelets.	information related to the medical procedure that involves testing a sample bone marrow,the soft, sponge-like tissue in the center of bones that produces blood cells and platelets, for blast cells, immature (undifferentiated) cells occurring before the appearance of the definitive characteristics exhibited by fully differentiated cells.
58264	Marrow Cellularity (%)	the relative volume of hematopoietic cells in the bone marrow, expressed as a percentage of the total value of the marrow space (cells, fat, and other stromal elements).	information related to medical procedure that involves testing a sample bone marrow, the soft tissue filling the cavities of bones, for he degree, quality, or condition of cells that are present.
58266	Marrow Eosinophils (%)	bone marrow eosinophils, as a percentage of total nucleated marrow cells.	information related to the results of a medical procedure that involves testing a sample of bone marrow for eosinophils, granular leukocytes with a nucleus that usually has two lobes connected by a slender thread of chromatin and cytoplasm containing coarse, round granules that are uniform in size and stainable by eosin.
58270	Marrow Lymphocytes (%)	the percentage value of the medical procedure that involves testing a sample of bone marrow, the soft, sponge-like tissue in the center of bones that produces white blood cells, red blood cells, and platelets, for lymphocytes, a type of white blood cell that has a number of roles in the immune system, including the production of antibodies and other substances that fight infection and diseases.	information related to the result of the medical procedure that involves testing a sample of bone marrow, the soft, sponge-like tissue in the center of bones that produces white blood cells, red blood cells, and platelets, for lymphocytes, a type of white blood cell that has a number of roles in the immune system, including the production of antibodies and other substances that fight infection and diseases.
58271	Marrow Promyelocytes (%)	bone marrow promyeloctyes, as a percentage of toal nucleated marrow cells.	information related to the result of a medical procedure that involves testing a sample of bone marrow for promyelocytes, a cell of the bone marrow that is derived from myeloblasts and will give rise to myelocytes, precursors of myeloid cells and neutrophil granulocytes.
58282	Peripheral Blasts (%)	the value, in percent, of the medical procedure that involves testing a sample of blood for blast cells, immature (undifferentiated) cells.	information related to the result of the medical procedure that involves testing a sample of blood for blast cells, immature (undifferentiated) cells.
58301	Peripheral Monocytes (%)	the percentage of the medical procedure that involves testing a sample of blood for monocytes, large phagocytic mononuclear leukocytes produced in the vertebrate bone marrow and released into the blood.	information relating to the result of the medical procedure that involves testing a sample of blood for monocytes, large phagocytic mononuclear leukocytes produced in the vertebrate bone marrow and released into the blood.
58304	Peripheral Platelet Count	the absolute peripheral platelet count (in 1000/mcL).	information related to the result of a medical procedure that involves testing a sample of blood for platelets, irregular, disc-shaped fragments of large bone marrow cells called megakaryocytes in the blood that assist in blood clotting.
5	Vital Status	the survival state of the person registered on the protocol.	information related to a patient's vital status.
64507	Marrow Basophils (%)	the percentage of basophils (over total nucleated marrow cells) found in a bone marrow specimen.	information related to the result of a medical procedure that involves testing a sample of bone marrow for basophils, a type of granular leukocyte with granules that are easily stained by basic stains, to determine a diagnosis, plan treatment, check to see if treatment is working, or monitor the disease over time.
64521	Were FISH studies performed	the yes/no indicator that asks if fluorescence in situ hybridization (FISH) studies were performed.	information related to an evaluation using fluorescence in situ hybridization (FISH) being performed.
64523	Total Number of Metaphases	a numeric value counting cell nuclei (organelles) captured in the second phase of mitosis as an outcome from a lab procedure to map chromosomes using fluorescent tags and detect abnormalities.	related to cell nuclei (organelles) seen in the second phase of mitosis as the outcome from a lab procedure to map chromosomes using fluorescent tags and detect abnormalities.
64527	Specific Abnormalities Detected by FISH	the field to describe cytogenetic abnormalities detected by fluorescence in situ hybridization (FISH).	a genetic abnormality at the chromosomal level.
64583	Source of Cells used for Analysis	the type of sample cells used for analysis for leukemia pathology.	information related to leukemia cell specimen description or source.
